geo_mean,geo_mean_01,centroid_x,centroid_y
0.307602,0.656236,112.870830,34.784649
0.022875,0.030824,112.870830,34.777271
0.028707,0.043635,112.870830,34.710837
0.274075,0.582594,112.870830,34.703452
0.297860,0.634839,112.870830,34.696067
0.291992,0.621948,112.870830,34.688681
0.303726,0.647723,112.870830,34.681294
0.331945,0.709709,112.870830,34.673907
0.290806,0.619344,112.870830,34.666518
0.306766,0.654400,112.870830,34.659130
0.327815,0.700636,112.870830,34.651740
0.324540,0.693443,112.870830,34.644350
0.331695,0.709158,112.870830,34.636959
0.301371,0.642550,112.870830,34.629568
0.291275,0.620375,112.870830,34.622176
0.293016,0.624199,112.870830,34.614783
0.242988,0.514310,112.870830,34.607390
0.247794,0.524867,112.870830,34.599996
0.264751,0.562114,112.870830,34.592601
0.286224,0.609280,112.870830,34.585206
0.245493,0.519813,112.870830,34.577810
0.055957,0.103490,112.870830,34.570413
0.000000,0.000000,112.870830,34.563016
0.000000,0.000000,112.870830,34.555618
0.103760,0.208492,112.870830,34.474197
0.219390,0.462476,112.870830,34.466791
0.218591,0.460722,112.870830,34.459384
0.214375,0.451460,112.870830,34.451977
0.206775,0.434767,112.870830,34.444569
0.190927,0.399957,112.870830,34.437161
0.259208,0.549938,112.870830,34.429752
0.268035,0.569326,112.870830,34.422342
0.218333,0.460156,112.870830,34.414931
0.188014,0.393557,112.870830,34.407520
0.211952,0.446139,112.870830,34.400108
0.203067,0.426623,112.870830,34.392696
0.234649,0.495994,112.870830,34.385283
0.232575,0.491438,112.870830,34.377869
0.225767,0.476483,112.870830,34.370455
0.210737,0.443470,112.870830,34.363040
0.221554,0.467229,112.870830,34.355624
0.186386,0.389983,112.870830,34.348208
0.240743,0.509380,112.870830,34.340790
0.202373,0.425097,112.870830,34.333373
0.223704,0.471953,112.870830,34.325954
0.216995,0.457216,112.870830,34.318535
0.196455,0.412098,112.870830,34.311116
0.138589,0.284994,112.870830,34.303695
0.006070,0.000000,112.879813,34.851023
0.264055,0.560585,112.879813,34.843651
0.309499,0.660404,112.879813,34.836278
0.319008,0.681292,112.879813,34.828904
0.375383,0.805121,112.879813,34.821530
0.384962,0.826162,112.879813,34.814155
0.373315,0.800579,112.879813,34.806780
0.326412,0.697555,112.879813,34.799403
0.316472,0.675721,112.879813,34.792027
0.256994,0.545075,112.879813,34.784649
0.061327,0.115285,112.879813,34.777271
0.120376,0.244988,112.879813,34.703452
0.295247,0.629099,112.879813,34.696067
0.292145,0.622285,112.879813,34.688681
0.291721,0.621354,112.879813,34.681294
0.303512,0.647255,112.879813,34.673907
0.346507,0.741695,112.879813,34.666518
0.283874,0.604117,112.879813,34.659130
0.273817,0.582027,112.879813,34.651740
0.266847,0.566718,112.879813,34.644350
0.279811,0.595193,112.879813,34.636959
0.261938,0.555936,112.879813,34.629568
0.297123,0.633219,112.879813,34.622176
0.287199,0.611422,112.879813,34.614783
0.296302,0.631417,112.879813,34.607390
0.270679,0.575135,112.879813,34.599996
0.266096,0.565067,112.879813,34.592601
0.274248,0.582974,112.879813,34.585206
0.261597,0.555185,112.879813,34.577810
0.246061,0.521061,112.879813,34.570413
0.184580,0.386016,112.879813,34.563016
0.080154,0.156640,112.879813,34.555618
0.120030,0.244229,112.879813,34.474197
0.211492,0.445129,112.879813,34.466791
0.210653,0.443285,112.879813,34.459384
0.152468,0.315479,112.879813,34.451977
0.102441,0.205595,112.879813,34.444569
0.186069,0.389286,112.879813,34.437161
0.206867,0.434969,112.879813,34.429752
0.225117,0.475055,112.879813,34.422342
0.263550,0.559476,112.879813,34.414931
0.212541,0.447432,112.879813,34.407520
0.204836,0.430508,112.879813,34.400108
0.218622,0.460790,112.879813,34.392696
0.213951,0.450530,112.879813,34.385283
0.221068,0.466161,112.879813,34.377869
0.218974,0.461563,112.879813,34.370455
0.212849,0.448110,112.879813,34.363040
0.214416,0.451551,112.879813,34.355624
0.224909,0.474599,112.879813,34.348208
0.234136,0.494866,112.879813,34.340790
0.264253,0.561019,112.879813,34.333373
0.206170,0.433439,112.879813,34.325954
0.221354,0.466790,112.879813,34.318535
0.214933,0.452687,112.879813,34.311116
0.176411,0.368072,112.879813,34.303695
0.089615,0.177422,112.888796,34.851023
0.316991,0.676861,112.888796,34.843651
0.316489,0.675757,112.888796,34.836278
0.330333,0.706167,112.888796,34.828904
0.379099,0.813282,112.888796,34.821530
0.350316,0.750061,112.888796,34.814155
0.361023,0.773579,112.888796,34.806780
0.374041,0.802173,112.888796,34.799403
0.349661,0.748622,112.888796,34.792027
0.236174,0.499343,112.888796,34.784649
0.228516,0.482521,112.888796,34.696067
0.291366,0.620573,112.888796,34.688681
0.318543,0.680271,112.888796,34.681294
0.325107,0.694688,112.888796,34.673907
0.320201,0.683912,112.888796,34.666518
0.346905,0.742568,112.888796,34.659130
0.337716,0.722385,112.888796,34.651740
0.320701,0.685010,112.888796,34.644350
0.325784,0.696174,112.888796,34.636959
0.293260,0.624735,112.888796,34.629568
0.275166,0.584990,112.888796,34.622176
0.271673,0.577319,112.888796,34.614783
0.285422,0.607517,112.888796,34.607390
0.281819,0.599605,112.888796,34.599996
0.303322,0.646835,112.888796,34.592601
0.328254,0.701601,112.888796,34.585206
0.292909,0.623964,112.888796,34.577810
0.271731,0.577446,112.888796,34.570413
0.291746,0.621409,112.888796,34.563016
0.292031,0.622036,112.888796,34.555618
0.085687,0.168794,112.888796,34.548219
0.000000,0.000000,112.888796,34.481602
0.095332,0.189979,112.888796,34.474197
0.124747,0.254590,112.888796,34.466791
0.066217,0.126027,112.888796,34.459384
0.044348,0.077990,112.888796,34.451977
0.075716,0.146891,112.888796,34.444569
0.149052,0.307977,112.888796,34.437161
0.219331,0.462347,112.888796,34.429752
0.217104,0.457454,112.888796,34.422342
0.235206,0.497218,112.888796,34.414931
0.252591,0.535404,112.888796,34.407520
0.209109,0.439893,112.888796,34.400108
0.180532,0.377123,112.888796,34.392696
0.192940,0.404377,112.888796,34.385283
0.193092,0.404712,112.888796,34.377869
0.201462,0.423097,112.888796,34.370455
0.227418,0.480110,112.888796,34.363040
0.206423,0.433994,112.888796,34.355624
0.233860,0.494260,112.888796,34.348208
0.167663,0.348857,112.888796,34.340790
0.279042,0.593505,112.888796,34.333373
0.231014,0.488010,112.888796,34.325954
0.236571,0.500215,112.888796,34.318535
0.213386,0.449288,112.888796,34.311116
0.203679,0.427967,112.888796,34.303695
0.001858,0.000000,112.888796,34.296275
0.041432,0.071585,112.897779,34.851023
0.324776,0.693961,112.897779,34.843651
0.318926,0.681112,112.897779,34.836278
0.338694,0.724533,112.897779,34.828904
0.385312,0.826931,112.897779,34.821530
0.427244,0.919036,112.897779,34.814155
0.376740,0.808102,112.897779,34.806780
0.373772,0.801583,112.897779,34.799403
0.366508,0.785626,112.897779,34.792027
0.333552,0.713237,112.897779,34.784649
0.034528,0.056420,112.897779,34.777271
0.000000,0.000000,112.897779,34.769892
0.008841,0.000000,112.897779,34.755132
0.012635,0.008332,112.897779,34.747751
0.000000,0.000000,112.897779,34.740370
0.000000,0.000000,112.897779,34.703452
0.087844,0.173531,112.897779,34.696067
0.305900,0.652498,112.897779,34.688681
0.340758,0.729065,112.897779,34.681294
0.288435,0.614136,112.897779,34.673907
0.294553,0.627576,112.897779,34.666518
0.275257,0.585191,112.897779,34.659130
0.291251,0.620323,112.897779,34.651740
0.325822,0.696259,112.897779,34.644350
0.281476,0.598852,112.897779,34.636959
0.284170,0.604768,112.897779,34.629568
0.280168,0.595978,112.897779,34.622176
0.259690,0.550997,112.897779,34.614783
0.258131,0.547573,112.897779,34.607390
0.300170,0.639914,112.897779,34.599996
0.319656,0.682714,112.897779,34.592601
0.261051,0.553987,112.897779,34.585206
0.315154,0.672825,112.897779,34.577810
0.325539,0.695636,112.897779,34.570413
0.348271,0.745567,112.897779,34.563016
