id,name,address,type_code,industry,port,lng,lat,pname,cityname,adname
B01730IGA0,中国石化郑州东服务区东加油站,京珠高速圃田服务区刘江立交4000米东侧,汽车服务;加油站;中国石化,其他行业,消费端,113.833233,34.79383,河南省,郑州市,金水区
B01730HYIZ,郑州财经技师学院,中原中路128号,科教文化服务;学校;高等院校|科教文化服务;学校;职业技术学校,其他行业,消费端,113.588625,34.752392,河南省,郑州市,中原区
B01730HZVC,郑州市第七高级中学,三全路72号,科教文化服务;学校;中学,其他行业,消费端,113.668682,34.830971,河南省,郑州市,金水区
B0FFHQNWES,金马凯旋二手车交易中心,金马路与玉华路交叉口西南160米,汽车服务;二手车交易;二手车交易,其他行业,消费端,113.530327,34.733727,河南省,郑州市,中原区
B01731ADPA,河南水利与环境职业学院花园路校区,花园路136号,科教文化服务;学校;高等院校,其他行业,消费端,113.679,34.800699,河南省,郑州市,金水区
B017316AX0,郑州商业技师学院,荥泽大道99号,科教文化服务;学校;职业技术学校,其他行业,消费端,113.432021,34.764241,河南省,郑州市,荥阳市
B0G0UHLMYK,郑州城建职业学院,中原西路6号,科教文化服务;学校;高等院校,其他行业,消费端,113.262641,34.756752,河南省,郑州市,巩义市
B0FFF36R5X,郑州黄河护理职业学院,西四环与化工路交汇处向西100米,科教文化服务;学校;职业技术学校,其他行业,消费端,113.527148,34.787581,河南省,郑州市,中原区
B01730IAF6,河南省商务学校,博颂路6号,科教文化服务;学校;职业技术学校,其他行业,消费端,113.657216,34.807425,河南省,郑州市,金水区
B0FFKOEEEV,郑州中学(高中校区),红梅街2号,科教文化服务;学校;中学,其他行业,消费端,113.512756,34.829358,河南省,郑州市,中原区
B0KDG7JVWW,小米汽车销售服务中心(郑州商都路店),商都路与通泰路交汇处向南100米路西威佳汽车园区7-6号,汽车服务;汽车服务相关;汽车服务相关|汽车销售;汽车销售;汽车销售,零售业,消费端,113.732801,34.745937,河南省,郑州市,金水区
B0FFM905VQ,郑州财经学院航空港校区(装修中),航空港区豫州大道东侧,科教文化服务;学校;高等院校,其他行业,消费端,113.946055,34.573019,河南省,郑州市,中牟县
B01730K6IN,正方元国际酒店,黄河南路86号,住宿服务;宾馆酒店;五星级宾馆,旅游业,消费端,113.743651,34.759431,河南省,郑州市,金水区
B0GURMMOFC,郑州商都遗址博物院,东大街366号,风景名胜;公园广场;公园|科教文化服务;博物馆;博物馆,其他行业,消费端,113.686762,34.746546,河南省,郑州市,管城回族区
B01730I1FS,大桥石化郑州圃田加油站,商都路与京港澳高速交叉口向东300米路南,汽车服务;加油站;加油站,其他行业,消费端,113.819343,34.737534,河南省,郑州市,管城回族区
B0FFG0O2BI,郑州工程技术学院金河校区,金河路66号,科教文化服务;学校;高等院校,其他行业,制造端,113.629991,34.861129,河南省,郑州市,惠济区
